timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,etiqueta
1759632530.742192,3239893,-301128,-4812447,-5801772,-1119591,3808189,-6928296,8388607,contraccion
1759632530.7423005,3259938,-116146,-4838486,-5965325,-1173509,3841830,-7060179,8388607,contraccion
1759632530.742409,3229776,-116824,-4833750,-5950141,-1144242,3924544,-7065694,8388607,contraccion
1759632530.7425168,3203779,-200912,-4809451,-5837814,-1058000,4043544,-6993104,8388607,contraccion
1759632530.7426252,3200857,-360836,-4761391,-5628227,-910249,4207622,-6836259,8388607,contraccion
1759632530.7427323,3296926,-237881,-4761779,-5719886,-900311,4292351,-6886901,8388607,contraccion
1759632530.7428403,3315719,-47446,-4788535,-5877985,-956985,4307679,-7016117,8388607,contraccion
1759632530.7429483,3285287,-45427,-4786012,-5860647,-931607,4371176,-7023799,8388607,contraccion
1759632530.7430563,3260545,-129700,-4764954,-5747282,-849628,4471365,-6955086,8388607,contraccion
1759632530.743164,3256033,-290822,-4721433,-5539495,-706655,4617382,-6804261,8388607,contraccion
1759632530.743273,3339326,-166019,-4724901,-5632551,-702454,4682186,-6857046,8388607,contraccion
1759632530.743381,3334838,23566,-4754070,-5789096,-764435,4677737,-6985817,8388607,contraccion
1759632530.7434902,3274689,16484,-4756629,-5772248,-745002,4721898,-6994643,8388607,contraccion
1759632530.7435982,3273953,-84089,-4742604,-5660264,-669552,4803298,-6927514,8388607,contraccion
1759632530.8017397,3328159,-272731,-4708457,-5455086,-533341,4931956,-6779433,8388607,contraccion
1759632530.8018486,3263071,-175966,-4717476,-5552150,-538334,4978566,-6834131,8388607,contraccion
1759632530.8019564,3161187,-15603,-4748629,-5703541,-606542,4963342,-6955659,8388607,contraccion
1759632530.8020644,3197253,-40266,-4754904,-5680817,-593019,5003088,-6955750,8388607,contraccion
1759632530.8021722,3349943,-153246,-4747650,-5565609,-526204,5079646,-6881377,8388607,contraccion
1759632530.8022804,3570021,-357544,-4725196,-5358881,-400371,5199283,-6731509,8388607,contraccion
1759632530.8023896,3417129,-273527,-4752134,-5476111,-434076,5220916,-6803667,8388607,contraccion
1759632530.802498,3192914,-124270,-4799090,-5650234,-527229,5183766,-6932139,8388607,contraccion
1759632530.80261,3154202,-186029,-4845275,-5660459,-546186,5179841,-6957108,8388607,contraccion
1759632530.8027177,3208764,-383053,-4910461,-5591574,-507539,5180204,-6903677,8388607,contraccion
1759632530.8028257,3382417,-740552,-4977023,-5417034,-392224,5252859,-6732112,8388607,contraccion
1759632530.8029337,3279701,-1044770,-5129509,-5507021,-475801,5217825,-6835609,8388607,contraccion
1759632530.8030424,3097038,-1229863,-5297239,-5675931,-639254,5051359,-7018601,8388607,contraccion
1759632530.803151,3081544,-1242381,-5310069,-5690102,-655639,5035836,-7035122,8388607,contraccion
1759632530.80326,3097147,-1225226,-5297457,-5677456,-641757,5050031,-7021314,8388607,contraccion
1759632530.8621173,3098680,-1222430,-5299722,-5678989,-642514,5049651,-7022313,8388607,contraccion
1759632530.8622258,3092913,-1225855,-5307931,-5685957,-648779,5044004,-7028866,8388607,contraccion
1759632530.8623333,3088549,-1227538,-5314148,-5690724,-652792,5040672,-7033174,8388607,contraccion
1759632530.862442,3082573,-1231514,-5322929,-5698201,-659532,5034627,-7040251,8388607,contraccion
1759632530.8625505,3074431,-1238135,-5334529,-5708639,-669253,5025562,-7050244,8388607,contraccion
1759632530.8626585,3065134,-1246465,-5347892,-5721018,-680981,5014611,-7062199,8388607,contraccion
1759632530.8627658,3059061,-1250669,-5356628,-5728416,-687654,5008700,-7069140,8388607,contraccion
1759632530.862874,3055056,-1252262,-5362553,-5732743,-691175,5005891,-7073016,8388607,contraccion
1759632530.8629816,3049081,-1256452,-5371317,-5740094,-697733,5000054,-7079977,8388607,contraccion
1759632530.8630905,3040830,-1263487,-5383212,-5750771,-707644,4990911,-7090296,8388607,contraccion
1759632530.863198,3031373,-1272274,-5397077,-5763592,-719716,4979662,-7102784,8388607,contraccion
1759632530.8633058,3025226,-1276576,-5405936,-5771020,-726394,4973844,-7109772,8388607,contraccion
1759632530.863414,3021317,-1278029,-5411672,-5775063,-729736,4971353,-7113368,8388607,contraccion
1759632530.8635223,3015438,-1282195,-5420384,-5782354,-736276,4965564,-7120331,8388607,contraccion
1759632530.863632,3007087,-1289452,-5432452,-5793097,-746396,4956304,-7130875,8388607,contraccion
1759632530.9224026,2997476,-1298517,-5446517,-5806074,-758721,4944841,-7143652,8388607,contraccion
1759632530.9225118,2991389,-1302775,-5455168,-5813344,-765218,4939293,-7150474,8388607,contraccion
1759632530.92262,2987499,-1304059,-5460609,-5817161,-768185,4937271,-7153764,8388607,contraccion
1759632530.922729,2981482,-1308236,-5469311,-5824446,-774665,4931761,-7160667,8388607,contraccion
1759632530.9228375,2972913,-1315744,-5481666,-5835531,-784932,4922361,-7171462,8388607,contraccion
1759632530.9229455,2963187,-1325106,-5496037,-5848871,-797503,4910675,-7184561,8388607,contraccion
1759632530.9230535,2957209,-1329340,-5504658,-5856032,-803827,4905285,-7191302,8388607,contraccion
1759632530.9231648,2953481,-1330561,-5509982,-5859664,-806606,4903513,-7194423,8388607,contraccion
1759632530.923273,2947539,-1334751,-5518596,-5866907,-813105,4898089,-7201254,8388607,contraccion
1759632530.923381,2938919,-1342308,-5530923,-5877969,-823526,4888689,-7212037,8388607,contraccion
1759632530.9234898,2929036,-1351824,-5545412,-5891399,-836361,4876926,-7225214,8388607,contraccion
1759632530.9235978,2923021,-1356071,-5554016,-5898476,-842749,4871664,-7231864,8388607,contraccion
1759632530.9237063,2919183,-1357321,-5559387,-5902046,-845587,4869951,-7234953,8388607,contraccion
1759632530.9238153,2913153,-1361654,-5568136,-5909290,-852172,4864464,-7241871,8388607,contraccion
1759632530.923924,2904521,-1369340,-5580500,-5920516,-862616,4855075,-7252742,8388607,contraccion
1759632530.982628,2894609,-1378942,-5595061,-5934080,-875492,4843323,-7266086,8388607,contraccion
1759632530.9827363,2888703,-1383109,-5603570,-5941106,-881661,4838179,-7272741,8388607,contraccion
